dataset_name,DTW_LOOCV,UCRSuite_LOOCV,EAP_LOOCV,FastWWSearch,FastWWSearch_EA,FastWWSearch_NoLb,EAP_FastWWSearch,EAP_FastWWSearch_EA,EAP_FastWWSearch_NoLb,UltraFastWWSearch_V1,UltraFastWWSearch_V2,UltraFastWWSearch,UltraFastWWSearch-Global,FastWDTW,EAP_FastWDTW,EAP_FastWDTW_EA,UltraFastWDTW-Local,UltraFastWDTW-Global,FastERP,EAP_FastERP,EAP_FastERP_EA,UltraFastERP-Local,UltraFastERP-Global,FastMSM,EAP_FastMSM,EAP_FastMSM_EA,UltraFastMSM-Local,UltraFastMSM-Global,FastTWE,EAP_FastTWE,EAP_FastTWE_EA,UltraFastTWE-Local,UltraFastTWE-Global,FastLCSS,EAP_FastLCSS,EAP_FastLCSS_EA,UltraFastLCSS-Local,UltraFastLCSS-Global
ACSF1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10
Adiac,3,3,3,3,3,3,3,3,3,3,3,3,3,89,89,89,89,89,82,91,91,91,91,29,29,29,29,29,4,4,4,4,4,1,1,1,1,1
AllGestureWiimoteX,14,14,14,14,14,14,14,14,14,14,14,14,14,2,2,2,2,2,33,6,6,6,6,51,51,51,51,51,9,9,9,9,9,83,83,73,83,83
AllGestureWiimoteY,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,36,36,36,36,36,39,39,39,39,39,39,39,39,39,39,83,83,83,83,83
AllGestureWiimoteZ,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,2,2,53,43,43,43,43,42,42,42,42,42,19,19,19,19,19,13,13,13,13,32
ArrowHead,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,97,0,0,0,0,12,45,45,45,45,45,78,78,78,78,78,2,2,2,2,1
BME,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,0,0,0,0,0,52,52,52,52,52,20,20,20,20,20,42,42,41,41,2
Beef,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,0,0,0,0,0,6,6,6,6,6,2,2,2,2,2,1,1,1,1,1
BeetleFly,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,19,19,19,19,19,3,3,3,3,3
BirdChicken,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,72,72,72,72,72,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3
CBF,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,8,8,8,8,8,15,15,15,15,15
Car,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,38,38,38,51,51,51,51,51,29,29,29,29,29,62,62,62,62,17,1,1,1,1,1
Chinatown,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,77,1,85,85,85,85,18,18,18,18,18,40,40,40,40,40,0,0,0,0,0
