dataset_name,Train,Test,Class,Length,DTW_LOOCV,UCRSuite_LOOCV,EAP_LOOCV,FastWWSearch,FastWWSearch_EA,FastWWSearch_NoLb,EAP_FastWWSearch,EAP_FastWWSearch_EA,EAP_FastWWSearch_NoLb,UltraFastWWSearch_V1,UltraFastWWSearch_V2,UltraFastWWSearch,UltraFastWWSearch-Global,FastWDTW,EAP_FastWDTW,EAP_FastWDTW_EA,UltraFastWDTW-Local,UltraFastWDTW-Global,FastERP,EAP_FastERP,EAP_FastERP_EA,UltraFastERP-Local,UltraFastERP-Global,FastMSM,EAP_FastMSM,EAP_FastMSM_EA,UltraFastMSM-Local,UltraFastMSM-Global,FastTWE,EAP_FastTWE,EAP_FastTWE_EA,UltraFastTWE-Local,UltraFastTWE-Global,FastLCSS,EAP_FastLCSS,EAP_FastLCSS_EA,UltraFastLCSS-Local,UltraFastLCSS-Global
ACSF1,100,100,10,1460,5192.025454,3062.547924,418.8080252,68.63428462,73.02160842,87.0360058,45.63922561,21.20176668,48.05970593,18.13677065,18.05538478,8.231734174,17.98297758,4386.553601,2995.114183,2591.13101,2576.764714,,1094.16819,252.5846239,132.961282,73.32642478,117.198897,935.5618683,243.540437,238.7250636,175.6402159,59.27674568,1292.084239,771.2016715,517.1162413,429.6211515,89.70579848,417.5228989,112.5532845,80.41781681,85.38028867,152.2510788
Adiac,390,391,37,176,1328.761363,432.0254572,39.24280083,10.91722657,11.93560015,21.67877975,8.189224226,4.538805915,12.70496444,4.138725587,4.072158576,0.934233267,2.112292483,411.3581301,293.3143138,226.063705,301.0572714,330.3474887,141.5050058,40.55935229,20.8320216,4.536738751,4.6218017,182.3894471,49.13340798,70.7947316,68.82471462,32.27436988,302.2730375,174.6070807,62.3231922,56.27400154,61.82681138,5.238583794,2.045249292,1.723931789,1.237888849,2.558814142
AllGestureWiimoteX,300,700,10,500,4748.233869,1937.848921,217.5609418,81.32032798,129.724801,111.3108356,56.09430265,58.44081615,53.74662305,53.61175755,37.26268915,8.776865583,48.53453133,4917.252351,3530.217467,3217.223094,2310.928466,3899.5405,1183.853103,329.2635283,177.0660302,44.97914692,243.1924084,1425.346357,403.6843532,636.1061956,683.4336323,328.7985408,1590.597884,932.7033171,761.5616897,734.8426013,487.880071,553.8209417,174.9931105,151.2654474,81.3316413,127.6013265
AllGestureWiimoteY,300,700,10,500,4707.026206,1496.250764,237.8420026,60.69814727,79.81798701,105.2944491,43.82820993,42.49173596,52.28946585,34.39984619,29.57313445,7.559558887,45.19742716,4342.034,3113.30317,2892.677563,2295.484675,3643.951122,1026.786833,282.8106138,155.1906401,37.37032505,201.3845716,1351.433773,371.848006,588.6778386,639.2152232,314.2311544,1644.770945,966.3725982,663.6338458,632.9543427,527.1892314,542.976535,160.7117924,141.7924739,78.54499785,120.4479758
AllGestureWiimoteZ,300,700,10,500,4597.410432,1269.268099,178.3910354,53.55811473,65.29378124,101.9207351,38.77661041,36.01680656,50.51721268,34.10423784,26.39811638,6.167487439,36.09666549,4110.423828,2928.420085,2774.535545,2282.743051,3302.444049,974.9176829,269.4180723,151.7436537,37.56006859,154.8870458,1176.214572,322.5402496,417.5153703,452.8609531,258.5999593,1728.719995,1011.481904,511.1249913,477.7263185,531.8623267,548.5820421,159.7649788,114.965008,54.3001023,97.69660054
ArrowHead,36,175,3,251,24.26711873,12.99761199,2.092216598,0.441536376,0.595592521,0.540122317,0.286262496,0.250914336,0.247736577,0.219155843,0.192203001,0.092764418,0.11260672,13.18162487,9.556200539,8.392186553,7.236583407,9.389893591,5.883462232,1.667212493,1.302865654,0.722918095,0.727449116,13.2414264,3.92976461,5.435026449,5.920153622,2.562530775,13.04221807,7.476757514,8.898814603,7.990766124,6.135684743,1.355354646,0.4852043,0.545184957,0.310942739,0.489460923
BME,30,150,3,128,6.471626673,3.394921326,1.212992979,0.388704332,0.395409763,0.295859893,0.340494426,0.282740726,0.267420285,0.107333004,0.112487625,0.247414019,0.04388902,1.159469522,0.850987908,0.820676052,0.978366069,0.923239861,0.94158244,0.32957038,0.284308971,0.149157494,0.244658994,1.928999224,0.540771133,0.714001876,0.751748445,0.352952404,1.567838937,0.89774931,0.874530394,0.764007701,0.580527963,0.323096136,0.117007992,0.170560977,0.097962393,0.173187105
Beef,30,30,5,470,59.52830593,36.89770816,12.80416068,1.020936558,1.462079271,1.177888987,0.660919731,0.882612971,0.610994004,0.861673571,0.49101758,0.449124042,0.342413293,33.27806597,24.13235884,22.24506527,21.79545385,24.50054764,12.6748179,3.654094385,3.746410558,2.567465064,1.670475022,35.19011653,9.463403516,13.24504739,14.66470508,5.507368956,28.02256722,16.38712399,21.0522074,18.51816105,12.49969319,2.983068324,1.064446004,1.145264349,0.752893022,1.053297481
BeetleFly,20,20,2,512,37.03299853,32.18668093,10.1998498,1.347926438,1.727749925,1.357866127,0.69576049,0.692290949,0.563902114,0.442282238,0.406536457,0.40262661,0.374933218,26.99289275,19.85818939,17.86309375,13.20707871,21.05696343,10.85612147,3.238448502,3.41088943,2.199469355,2.360775582,29.38916855,9.168234856,12.29210761,12.78969407,6.670413305,27.56529574,15.97649098,25.79254819,22.8078759,17.13508577,5.240411343,1.735159503,2.184003473,1.327724569,1.230376389
BirdChicken,20,20,2,512,31.99808411,23.11386004,7.367155049,1.163376519,1.467861857,1.250938161,0.735775821,0.581258965,0.515180702,0.424905175,0.361714366,0.36466758,0.310221767,25.8866365,18.15454674,15.75260344,12.23834389,18.02041971,9.390232016,2.881408919,2.453682935,1.612035763,1.855917249,27.34921086,8.343005243,9.960929091,10.45544714,6.261215856,26.07067866,14.89208987,22.0903075,20.64135602,15.25479602,4.19683344,1.434439056,1.535448766,0.895001432,1.173870151
CBF,30,900,3,128,5.8218248,5.358890415,1.928218877,0.153783227,0.244081628,0.160586053,0.109009837,0.136133592,0.103277975,0.120766928,0.100523426,0.084548108,0.076631521,2.306544562,2.114358663,1.694807693,1.363755092,2.296377975,1.542603246,0.571756204,0.742442478,0.421317045,0.453746324,1.732443861,0.879897374,2.178264054,2.064050826,0.466378243,1.549334277,0.870296841,2.279572922,2.186372599,0.721841319,0.825701007,0.352994464,0.487832033,0.289746718,0.400001954
Car,60,60,4,577,380.5110885,218.6803712,19.95006105,5.712235637,7.144616958,7.133376394,3.947380813,2.287397334,3.202060194,1.999043422,1.878582868,0.613407007,1.377170143,262.2989206,190.6934279,189.1974466,129.4976424,169.5500112,76.53622565,20.46546825,10.68346199,4.389124749,5.889340497,202.7776196,56.54007642,53.68504321,57.80030967,40.89791191,162.6793998,95.91861791,105.1556159,91.55675052,73.08220445,19.6120454,5.813317465,5.32999861,2.985318034,5.317261782
Chinatown,20,343,2,24,0.54053802,0.405769017,0.260608977,0.084673997,0.037611101,0.055401112,0.075939486,0.04831243,0.040920422,0.029192144,0.03097544,0.042624091,0.019353599,0.142879047,0.101186741,0.107706905,0.073092604,0.082483701,0.119619767,0.052860804,0.05160844,0.042319862,0.061686755,0.093403937,0.055626793,0.055564385,0.049184502,0.042935079,0.149535617,0.085515411,0.101769593,0.074858437,0.084581873,0.029086757,0.028716867,0.053286993,0.052651532,0.07250911
