dataset_name,classifier_name,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time,train_time_std
BeetleFly,DTW_LOOCV,37.032998525,,,,,37.032998525,0.0
BirdChicken,DTW_LOOCV,31.998084112,,,,,31.998084112,0.0
Coffee,DTW_LOOCV,26.320709683,,,,,26.320709683,0.0
Beef,DTW_LOOCV,59.528305925,,,,,59.528305925,0.0
OliveOil,DTW_LOOCV,89.947583651,,,,,89.947583651,0.0
Rock,DTW_LOOCV,780.824247517,,,,,780.824247517,0.0
PickupGestureWiimoteZ,DTW_LOOCV,81.353135608,,,,,81.353135608,0.0
ShakeGestureWiimoteZ,DTW_LOOCV,96.440009304,,,,,96.440009304,0.0
Wine,DTW_LOOCV,43.323517364,,,,,43.323517364,0.0
FaceFour,DTW_LOOCV,24.654143706,,,,,24.654143706,0.0
Car,DTW_LOOCV,380.511088498,,,,,380.511088498,0.0
Meat,DTW_LOOCV,210.413518218,,,,,210.413518218,0.0
Lightning2,DTW_LOOCV,490.565730732,,,,,490.565730732,0.0
Herring,DTW_LOOCV,266.806236379,,,,,266.806236379,0.0
Lightning7,DTW_LOOCV,171.701132651,,,,,171.701132651,0.0
DodgerLoopDay,DTW_LOOCV,249.29907807,,,,,249.29907807,0.0
DodgerLoopGame,DTW_LOOCV,15.952283613,,,,,15.952283613,0.0
DodgerLoopWeekend,DTW_LOOCV,16.741396682,,,,,16.741396682,0.0
HouseTwenty,DTW_LOOCV,1955.172573118,,,,,1955.172573118,0.0
ToeSegmentation2,DTW_LOOCV,48.881015906,,,,,48.881015906,0.0
BME,DTW_LOOCV,6.471626673,,,,,6.471626673,0.0
UMD,DTW_LOOCV,11.489090217,,,,,11.489090217,0.0
ECG200,DTW_LOOCV,24.947618749,,,,,24.947618749,0.0
GunPoint,DTW_LOOCV,16.977894597,,,,,16.977894597,0.0
ShapeletSim,DTW_LOOCV,66.70855589,,,,,66.70855589,0.0
Trace,DTW_LOOCV,179.781794515,,,,,179.781794515,0.0
ACSF1,DTW_LOOCV,5192.025453812,,,,,5192.025453812,0.0
Fungi,DTW_LOOCV,6.767596465,,,,,6.767596465,0.0
Plane,DTW_LOOCV,59.692737056,,,,,59.692737056,0.0
ArrowHead,DTW_LOOCV,24.267118726,,,,,24.267118726,0.0
Ham,DTW_LOOCV,786.040730171,,,,,786.040730171,0.0
Worms,DTW_LOOCV,7140.924430301,,,,,7140.924430301,0.0
WormsTwoClass,DTW_LOOCV,7136.080629633,,,,,7136.080629633,0.0
InsectEPGSmallTrain,DTW_LOOCV,30.359438544,,,,,30.359438544,0.0
ToeSegmentation1,DTW_LOOCV,41.10837497,,,,,41.10837497,0.0
SmoothSubspace,DTW_LOOCV,5.938596213,,,,,5.938596213,0.0
GesturePebbleZ1,DTW_LOOCV,801.160442776,,,,,801.160442776,0.0
GesturePebbleZ2,DTW_LOOCV,976.74176794,,,,,976.74176794,0.0
InsectEPGRegularTrain,DTW_LOOCV,381.858572484,,,,,381.858572484,0.0
PigAirwayPressure,DTW_LOOCV,8625.353100336,,,,,8625.353100336,0.0
PigArtPressure,DTW_LOOCV,12008.159967699,,,,,12008.159967699,0.0
PigCVP,DTW_LOOCV,11967.492215265,,,,,11967.492215265,0.0
DiatomSizeReduction,DTW_LOOCV,8.589139968,,,,,8.589139968,0.0
GestureMidAirD1,DTW_LOOCV,1206.442083226,,,,,1206.442083226,0.0
GestureMidAirD2,DTW_LOOCV,1168.298638121,,,,,1168.298638121,0.0
GestureMidAirD3,DTW_LOOCV,1216.162253987,,,,,1216.162253987,0.0
Fish,DTW_LOOCV,1815.38527183,,,,,1815.38527183,0.0
PowerCons,DTW_LOOCV,222.026037935,,,,,222.026037935,0.0
Chinatown,DTW_LOOCV,0.54053802,,,,,0.54053802,0.0
OSULeaf,DTW_LOOCV,2057.760187733,,,,,2057.760187733,0.0
GunPointAgeSpan,DTW_LOOCV,108.660103213,,,,,108.660103213,0.0
GunPointMaleVersusFemale,DTW_LOOCV,117.621163678,,,,,117.621163678,0.0
GunPointOldVersusYoung,DTW_LOOCV,98.636458164,,,,,98.636458164,0.0
Earthquakes,DTW_LOOCV,9108.69966076,,,,,9108.69966076,0.0
Haptics,DTW_LOOCV,9094.708362034,,,,,9094.708362034,0.0
Computers,DTW_LOOCV,8660.440937911,,,,,8660.440937911,0.0
DistalPhalanxOutlineAgeGroup,DTW_LOOCV,427.596964703,,,,,427.596964703,0.0
DistalPhalanxTW,DTW_LOOCV,392.886094052,,,,,392.886094052,0.0
MiddlePhalanxTW,DTW_LOOCV,382.923040296,,,,,382.923040296,0.0
MiddlePhalanxOutlineAgeGroup,DTW_LOOCV,428.587029248,,,,,428.587029248,0.0
SyntheticControl,DTW_LOOCV,183.829917547,,,,,183.829917547,0.0
ProximalPhalanxOutlineAgeGroup,DTW_LOOCV,425.404255431,,,,,425.404255431,0.0
ProximalPhalanxTW,DTW_LOOCV,403.337068724,,,,,403.337068724,0.0
SonyAIBORobotSurface1,DTW_LOOCV,3.044336823,,,,,3.044336823,0.0
InlineSkate,DTW_LOOCV,8156.636049173,,,,,8156.636049173,0.0
EOGHorizontalSignal,DTW_LOOCV,58386.356063073,,,,,58386.356063073,0.0
EOGVerticalSignal,DTW_LOOCV,55927.702492112,,,,,55927.702492112,0.0
LargeKitchenAppliances,DTW_LOOCV,21490.08015482,,,,,21490.08015482,0.0
RefrigerationDevices,DTW_LOOCV,22545.257928533,,,,,22545.257928533,0.0
ScreenType,DTW_LOOCV,18340.607905742,,,,,18340.607905742,0.0
SmallKitchenAppliances,DTW_LOOCV,21307.167039662,,,,,21307.167039662,0.0
